latitude,longitude,accuracy,speed,bearing,kf_latitude,kf_longitude,kf_speed_lat,kf_speed_long,kf_covariance_lat,kf_covariance_long,kf_speed_total
42.26706,-71.01501,5,0,46.758,42.26706,-71.01501,0,0,1.38258134277008,3.51590444289917,0
42.26706,-71.015,5,0.23,48.164,42.267060141352,-71.0150076640583,0.0110681601931546,0.0826292197074342,1.99571401015634,5.23083812866336,0.0833672124970048
42.26707,-71.015,5,0.15,26.367,42.267064642414,-71.0150050745005,0.175719996227227,0.13436364885894,2.2341249560946,6.37798882167195,0.221203768523019
42.26707,-71.015,5,0,353.672,42.2670677917522,-71.0150029861836,0.222216356446677,0.152764228697688,2.21947189047234,6.93395173362132,0.269660932732267
42.26707,-71.015,5,0,28.477,42.2670697638814,-71.0150013514535,0.218365441884945,0.155628913682246,2.11987604592154,7.08789173725323,0.268148885851729
42.26712,-71.01499,5,0,28.477,42.267091069674,-71.0149973352984,0.719451231320731,0.201783056274481,2.01380425703096,7.02520459794447,0.747212470485059
42.26712,-71.01499,5,0,28.477,42.2671058967205,-71.0149942171109,0.920651086188855,0.220928829029465,1.92845647341987,6.86990026193669,0.946788239257886
42.26712,-71.01499,5,0,28.477,42.2671159776758,-71.0149918516155,0.952397906131776,0.223077102119038,1.86932177396375,6.69265905290682,0.978174404231689
42.26712,-71.01499,5,0,28.477,42.2671224945779,-71.0149900961513,0.886290219497516,0.214508046936059,1.83325605554872,6.52946686717171,0.911879408352485
42.26712,-71.01499,5,0,28.477,42.2671263130962,-71.0149888323552,0.766940086016994,0.199224020852446,1.81421836852695,6.39583211462712,0.792393403571969
42.26714,-71.015,5,0.47,233.438,42.2671352036611,-71.0149907360574,0.80101045599579,0.128669663699077,1.80605795398712,6.29569077133581,0.811279010557414
42.26714,-71.015,5,0,222.188,42.2671412163746,-71.0149922897243,0.758194861965712,0.0813071957067384,1.8038359896697,6.22675131086312,0.762542004603614
42.26714,-71.015,5,0.22,228.164,42.2671447633892,-71.0149938506944,0.659568052054134,0.0384026493242421,1.80422217399393,6.18374506593195,0.660685082899263
42.26714,-71.015,5,0.18,4.219,42.2671465721098,-71.0149949790248,0.542900045535324,0.0168528134659126,1.80532776138504,6.16043636245588,0.543161556780277
42.26715,-71.015,5,0.49,35.508,42.267150824565,-71.014995755636,0.522691046884199,0.00954003899335007,1.80629525750112,6.15083707830266,0.522778100953832
42.26715,-71.015,5,0,42.539,42.2671533170708,-71.0149967436742,0.45758238930403,-0.00877626477456559,1.80687542191157,6.14986629996395,0.457666544357983
42.26715,-71.015,5,0,331.523,42.2671545609452,-71.0149975967256,0.376256932845017,-0.021681367399594,1.80710568736303,6.15361409527868,0.376881096907574
42.26715,-71.015,5,0,331.523,42.267154921141,-71.0149983160179,0.292210649488721,-0.0300987028346086,1.80711306955535,6.15933858239785,0.293756694539794
42.26718,-71.01501,5,0.37,19.336,42.2671655942891,-71.015001055106,0.498362892066866,-0.0637911388075933,1.80701758437898,6.16530693730845,0.502428981627872
42.26718,-71.01501,5,0.86,171.562,42.2671735119884,-71.0150044143955,0.581929342588595,-0.12803110038371,1.80689959477426,6.17056861938828,0.595847062954126
42.26718,-71.01501,5,0.2,146.953,42.267179007616,-71.0150066972451,0.581681848058637,-0.148087740709919,1.80679975297845,6.17472263315942,0.600236412848703
42.26719,-71.01501,5,0.41,100.547,42.2671862483945,-71.015008449228,0.631140581346409,-0.153645918374054,1.80673085497987,6.1777149590098,0.64957332277064
42.26719,-71.01501,5,0,86.836,42.2671909739109,-71.0150097321469,0.597081017125638,-0.148661915682256,1.80669062668034,6.17968160693862,0.61530976441635
42.26719,-71.01501,5,0,52.031,42.267193810085,-71.0150106687218,0.522469768253728,-0.138671747032892,1.80667112077099,6.18083876042304,0.54055944369168
42.26719,-71.01501,5,0,52.031,42.2671952230806,-71.0150113152269,0.429460571101772,-0.125502685093569,1.80666408895658,6.18141370826614,0.447422961074592
42.26719,-71.01501,5,0,52.031,42.2671956288968,-71.015011724778,0.333409067655465,-0.11060906586161,1.80666324819012,6.18160716259849,0.351277627875252
42.26719,-71.01501,5,0.15,359.648,42.2671953748402,-71.0150118086549,0.244064960963323,-0.0895589251174782,1.80666468198824,6.18157740985511,0.259977895672356
42.26719,-71.01501,5,0,274.922,42.2671947359038,-71.0150118858009,0.166923941845621,-0.0752857092147242,1.80666638677086,6.18143812196374,0.183116193640115
42.26718,-71.01502,5,0.85,2.109,42.2671903152534,-71.0150135558572,0.0113052583132709,-0.0722175749008139,1.80666759810505,6.18126359344285,0.0730971065780613
42.26719,-71.01502,5,1.25,0.703,42.2671902679049,-71.0150144287224,0.00750018783297694,-0.0475494882273168,1.80666820793907,6.18109709188715,0.0481373726766395
42.26721,-71.01503,5,1.75,358.945,42.2671974247977,-71.0150169565987,0.190789476890827,-0.0444690823961948,1.80666837106751,6.18095963249155,0.195903353165368
42.26722,-71.01505,5,2.01,295.312,42.2672058662108,-71.0150246004311,0.335305650053059,-0.147808140898188,1.80666828870148,6.1808577173788,0.366438433400869
42.26722,-71.01507,5,1.57,285.469,42.2672121519353,-71.0150363070874,0.392574831904683,-0.311523861642304,1.80666811710023,6.18078942896467,0.501160767636018
42.26723,-71.01509,5,1.7,279.492,42.2672200194083,-71.0150511492052,0.474219536614884,-0.502888501212387,1.80666794772472,6.18074879525077,0.691217052421941
42.26723,-71.0151,5,1.58,269.648,42.2672255191464,-71.0150661799371,0.475632262762246,-0.670402783256187,1.80666781924126,6.18072863178105,0.821989015241674
42.26723,-71.01512,5,1.55,252.07,42.2672290817312,-71.0150838475937,0.428018603823105,-0.863537062074253,1.80666773775882,6.18072218502968,0.963792603620982
42.26722,-71.01513,5,0.9,242.578,42.267227762659,-71.0151006930876,0.275677864979774,-1.00778538141395,1.80666769422194,6.18072391797674,1.04481082509297
42.26722,-71.01513,5,0.44,238.008,42.2672262788732,-71.0151140525996,0.163216090791535,-1.06394104784278,1.80666767565606,6.18072973811095,1.07638749787336
42.26722,-71.01513,5,0,236.602,42.2672248815893,-71.0151242248369,0.0864695839447972,-1.05127957787514,1.80666767079631,6.18073690393643,1.05482972076299
42.26722,-71.01513,5,0,236.25,42.2672235794071,-71.0151318080591,0.0312356304254368,-0.996932372000995,1.80666767191563,6.18074377877857,0.997421585364787
42.26722,-71.01513,5,0.38,232.734,42.2672223305857,-71.0151374087239,-0.0134148617914359,-0.923384806515504,1.80666767463539,6.18074954143721,0.923482246402473
42.26721,-71.01514,5,0.87,225.703,42.2672175518026,-71.0151440116738,-0.143316304659853,-0.887748370803259,1.80666767698133,6.18075391668609,0.899242310528812
42.2672,-71.01515,5,1.18,216.562,42.2672101603855,-71.0151515569846,-0.309941349607193,-0.881608995565214,1.80666767839077,6.18075695536916,0.934504179368843
42.26718,-71.01517,5,2.08,203.203,42.2671972762543,-71.0151630272169,-0.579419902086684,-0.96382055310113,1.80666767896287,6.18075887230004,1.12457880182507
42.26716,-71.01517,5,2.17,184.922,42.2671806380525,-71.0151723719032,-0.869953608411507,-1.00108352857628,1.8066676790015,6.18075993781127,1.32626826546326
42.26713,-71.01517,5,2.89,157.5,42.2671581428037,-71.0151800891337,-1.22104259844733,-1.01520970429157,1.80666767879168,6.18076041299434,1.58795332768655
42.26711,-71.01514,5,4.23,127.266,42.2671355882554,-71.0151784648262,-1.45284796499693,-0.866183051260454,1.80666767852421,6.1807605171058,1.69146099206768
42.26706,-71.01509,5,5.21,115.664,42.2671024165055,-71.0151637291049,-1.88268953914778,-0.514258030688893,1.80666767829604,6.1807604164751,1.95166114449832
42.26704,-71.01503,5,5.81,123.398,42.2670717715057,-71.0151366034298,-2.13801822710337,-0.033796181464251,1.80666767813828,6.18076022624523,2.13828532270785
42.267,-71.01498,5,6.19,130.781,42.2670363168523,-71.0151017822138,-2.45716883463856,0.475343121806161,1.80666767804634,6.18076001857141,2.50272446852774
42.26696,-71.01492,5,5.85,130.43,42.2669974210865,-71.0150575269312,-2.78986029880403,1.06119497200229,1.80666767800209,6.18075983302081,2.98487106177902
42.26693,-71.01486,5,6.38,129.813,42.2669601442435,-71.0150062151392,-2.99132505191147,1.65847655476234,1.80666767798653,6.18075968663451,3.42031724389559
42.26689,-71.01481,5,5.98,129.813,42.2669206835238,-71.0149514962228,-3.20401696293336,2.21511548488414,1.80666767798512,6.18075958237504,3.89518437434459
42.26686,-71.01475,5,5.12,129.813,42.2668832385957,-71.0148917088001,-3.32148846863488,2.77268542002217,1.80666767798883,6.18075951552511,4.32666962982823
42.26683,-71.01472,5,4.45,129.813,42.2668476485044,-71.0148356286907,-3.36936931692722,3.17963986691717,1.80666767799304,6.18075947810437,4.6327917368623
42.26682,-71.01469,5,3.56,129.813,42.2668207729725,-71.0147830923739,-3.18952550174257,3.46798603511846,1.80666767799602,6.18075946162339,4.71168760276431
42.26681,-71.01466,5,2.66,131.351,42.2668006571805,-71.0147339619306,-2.88998020194785,3.65966743264559,1.80666767799754,6.18075945857918,4.66316966077981
42.26681,-71.01464,5,1.74,131.351,42.2667891301421,-71.0146903551522,-2.45229667429412,3.73744739520111,1.80666767799798,6.18075946308327,4.47015346611832
42.2668,-71.01463,5,1.33,131.351,42.2667803674521,-71.0146543538203,-2.05611910679992,3.67859969915092,1.80666767799782,6.18075947095003,4.21422846176391
42.26678,-71.01464,5,3.56,131.351,42.2667703363802,-71.014631417524,-1.7662053295584,3.37680309016916,1.80666767799744,6.18075947949307,3.81081098664529
42.26678,-71.01463,5,0.7,131.351,42.266764610018,-71.0146117183021,-1.46858733542056,3.11330683967858,1.80666767799706,6.18075948720022,3.44229984744895
42.26678,-71.01463,5,0.7,131.351,42.2667625418978,-71.0145984321422,-1.14994291137027,2.78693933560517,1.80666767799677,6.18075949339313,3.01486310796263
42.26678,-71.01463,5,0,131.351,42.2667627100371,-71.0145899186663,-0.860205155587041,2.44640008417614,1.80666767799658,6.18075949792848,2.5932270015476
42.26678,-71.01463,5,0,131.351,42.2667643644613,-71.0145855038962,-0.603820163306449,2.09562568583025,1.80666767799648,6.18075950096443,2.18088188692715
42.26678,-71.01463,5,0,131.351,42.2667667900404,-71.0145842344358,-0.391059482879585,1.75255859609598,1.80666767799644,6.18075950279488,1.79565841737786
42.26678,-71.01463,5,0,131.351,42.2667694752007,-71.0145852875415,-0.224365912080488,1.42980493562636,1.80666767799643,6.18075950374322,1.44730170194234
42.26678,-71.01463,5,0,131.351,42.2667720801739,-71.0145879700657,-0.101119848518024,1.13558078191171,1.80666767799643,6.18075950410246,1.14007409233415
42.26678,-71.01463,5,0,131.351,42.2667744019487,-71.0145917121214,-0.015804675718192,0.874583328726248,1.80666767799644,6.1807595041082,0.874726120943259
42.26678,-71.01463,5,0,131.351,42.2667763403241,-71.0145960572123,0.0383938172352095,0.648770400319494,1.80666767799645,6.18075950393267,0.649905468151028
42.26678,-71.01463,5,0,131.351,42.2667778676895,-71.0146006502383,0.0684815793687837,0.458040355236078,1.80666767799645,6.18075950369066,0.463131400077381
42.26678,-71.0146,5,0.22,131.351,42.2667790705748,-71.0145979405162,0.0851481100415821,0.421159008942863,1.80666767799645,6.18075950345077,0.429680243270956
42.26678,-71.0146,5,0.76,131.351,42.2667800916638,-71.0145964429778,0.099005556901264,0.362466519513822,1.80666767799645,6.18075950324788,0.375744697987601
